OK 127ms 217.16.28.140:443
OK 129ms 89.208.231.191:52006 cached
OK 122ms 217.16.31.218:443
OK 129ms 51.250.4.238:443 cached
OK 129ms 51.250.47.193:443 cached
OK 132ms 158.160.17.171:443 cached
OK 126ms 84.201.168.201:443 cached
OK 132ms 84.201.153.33:443 cached
OK 135ms 89.208.210.216:443 cached
OK 126ms 158.160.146.238:443 cached
OK 129ms 51.250.47.219:443 cached
OK 134ms 89.208.210.165:443 cached
OK 127ms 5.188.115.98:443 cached
OK 134ms 217.16.27.113:443 cached
OK 130ms 89.208.210.51:443 cached
OK 132ms 84.201.129.65:443 cached
OK 129ms 178.154.233.157:443 cached
OK 126ms 158.160.203.114:443 cached
OK 130ms 51.250.70.186:443 cached
OK 136ms 89.208.198.103:443
OK 137ms 84.201.177.246:3000 cached
OK 130ms 84.201.177.246:3002 cached
OK 129ms 84.201.177.246:3001 cached
OK 128ms 89.208.208.92:9443 cached
OK 137ms 51.250.102.69:443 cached
OK 136ms 51.250.106.87:443 cached
OK 124ms 51.250.97.18:443 cached
OK 131ms 51.250.108.162:443
OK 130ms 178.154.204.55:443 cached
OK 123ms 178.154.215.113:443 cached
OK 127ms 178.154.204.65:443 cached
OK 134ms 158.160.47.144:443 cached
OK 127ms 51.250.66.16:443 cached
OK 132ms 84.201.128.39:443 cached
OK 127ms 84.201.131.127:443 cached
OK 127ms 51.250.95.42:443 cached
OK 136ms 84.201.176.179:443 cached
OK 126ms 5.188.115.29:443 cached
OK 136ms 84.201.136.40:443 cached
OK 131ms 84.201.158.83:443 cached
OK 129ms 51.250.83.32:443 cached
OK 131ms 84.201.165.188:443 cached
OK 129ms 51.250.40.74:443 cached
OK 132ms 178.154.214.111:443 cached
OK 129ms 158.160.208.250:443 cached
OK 126ms 84.201.180.178:443 cached
OK 130ms 158.160.109.80:443 cached
OK 129ms 158.160.232.92:443 cached
OK 133ms 51.250.7.246:443 cached
OK 129ms 31.129.42.122:443 cached
OK 130ms 158.160.206.199:443 cached
OK 123ms 5.188.114.66:443 cached
OK 116ms 31.129.42.131:443 cached
OK 125ms 5.188.114.240:443 cached
OK 143ms 51.250.18.219:443 cached
OK 135ms 51.250.18.25:443 cached
OK 127ms 158.160.186.6:443 cached
OK 127ms 51.250.15.175:443 cached
OK 129ms 109.120.183.69:443 cached
OK 125ms 217.16.31.162:443 cached
OK 132ms 51.250.24.222:443 cached
OK 134ms 5.188.114.71:443 cached
OK 127ms 185.241.194.34:5987 cached
OK 120ms 185.241.194.34:5994 cached
OK 126ms 130.193.35.232:443 cached
OK 130ms 51.250.79.203:443 cached
OK 128ms 51.250.41.237:443 cached
OK 130ms 51.250.19.38:443 cached
OK 130ms 84.201.148.218:443 cached
OK 139ms 51.250.101.158:443 cached
OK 114ms 45.15.178.124:80 cached
OK 132ms 130.193.56.74:443 cached
OK 128ms 95.163.215.93:443 cached
OK 127ms 37.18.14.184:7443 cached
OK 128ms 158.160.199.84:443 cached
OK 129ms 158.160.202.13:443 cached
OK 120ms 78.159.246.134:443 cached
OK 137ms 84.201.176.83:8443 cached
OK 129ms 84.201.158.43:443 cached
OK 138ms 84.201.143.23:443 cached
OK 136ms 84.201.178.109:8443 cached
OK 127ms 51.250.87.167:443 cached
OK 127ms 51.250.41.54:443 cached
OK 131ms 95.163.210.159:8443 cached
OK 129ms 51.250.73.31:443 cached
OK 128ms 51.250.86.102:443 cached
OK 125ms 78.159.246.66:443 cached
OK 125ms 89.208.87.173:443 cached
OK 129ms 51.250.95.143:443 cached
OK 96ms 78.159.131.48:443 cached
OK 171ms 45.129.8.233:48631 cached
OK 131ms 51.250.8.128:443 cached
OK 131ms 84.201.164.23:443 cached
OK 127ms 51.250.80.208:443 cached
OK 96ms 109.120.138.47:443 cached
OK 133ms 89.208.231.82:443 cached
OK 131ms 51.250.28.71:443 cached
OK 96ms 78.159.131.118:443 cached
OK 132ms 84.201.173.153:443 cached
OK 132ms 84.201.169.198:8443 cached
OK 134ms 109.120.132.142:40617 cached
OK 130ms 51.250.34.114:443 cached
OK 133ms 84.201.129.171:443 cached
OK 132ms 51.250.4.153:8443 cached
OK 127ms 84.201.157.190:443 cached
OK 134ms 51.250.24.79:443 cached
OK 126ms 84.201.169.198:443 cached
OK 130ms 51.250.96.217:443 cached
OK 126ms 84.201.172.189:443 cached
OK 129ms 51.250.93.152:443 cached
OK 128ms 51.250.80.168:443 cached
OK 133ms 84.201.166.234:443 cached
OK 126ms 51.250.39.136:443 cached
OK 133ms 84.201.176.104:8443 cached
OK 129ms 51.250.82.7:443 cached
OK 137ms 51.250.25.145:443 cached
OK 131ms 51.250.104.164:443 cached
OK 254ms 103.111.114.147:8443 cached
OK 131ms 89.208.229.39:443 cached
OK 130ms 51.250.108.255:443 cached
OK 131ms 84.201.163.9:443 cached
OK 135ms 51.250.76.247:443 cached
OK 131ms 51.250.111.240:443 cached
OK 131ms 51.250.99.76:443 cached
OK 130ms 51.250.104.227:8443 cached
OK 127ms 84.201.169.24:443 cached
OK 141ms 84.201.179.46:8081 cached
OK 135ms 5.188.141.139:443 cached
OK 131ms 51.250.15.61:443 cached
OK 135ms 89.208.231.84:443 cached
OK 132ms 95.163.211.31:443 cached
OK 125ms 51.250.5.237:443 cached
OK 130ms 84.201.132.179:443 cached
OK 137ms 84.201.176.174:443 cached
OK 131ms 51.250.31.108:443 cached
OK 133ms 51.250.119.97:443 cached
OK 128ms 51.250.94.185:443 cached
OK 131ms 185.130.114.120:443 cached
OK 124ms 31.129.48.139:443
OK 92ms 95.163.152.31:80
OK 129ms 51.250.9.161:443 cached
OK 6ms 185.65.149.44:443 cached
OK 129ms 158.160.103.206:443 cached
OK 111ms 45.15.152.167:443 cached
OK 110ms 45.15.178.124:8443 cached
OK 127ms 45.15.170.237:80 cached
OK 90ms 45.129.242.162:443 cached
OK 128ms 158.160.252.176:443 cached
OK 125ms 109.120.132.6:443 cached
OK 105ms 109.120.179.99:443 cached
OK 137ms 89.208.223.111:443 cached
OK 133ms 89.208.211.253:443 cached
OK 129ms 146.185.211.107:8444 cached
OK 120ms 62.152.56.142:443
OK 131ms 185.242.19.249:443 cached
OK 131ms 185.242.19.250:443 cached
OK 118ms 185.91.53.153:443 cached
OK 114ms 185.91.53.153:8443 cached
OK 140ms 103.88.241.133:8443 cached
OK 148ms 195.209.90.168:443
